X	Y	Y Error
400	17074.4	177.2017588
403	16585.46667	265.2203759
406	17265.13333	171.9302798
409	18884.2	263.9467813
412	20822.33333	170.0825323
415	21427.66667	317.0345162
418	20345.46667	159.4394486
421	18389.33333	210.8524392
424	16892.13333	158.4539505
427	16241.86667	383.2574954
430	16674.6	390.2471055
433	17356.7	420.3450051
436	18049.46667	422.9285374
439	18973.13333	455.9855346
442	19638.2	466.7252297
445	20225.66667	514.183561
448	20838.63333	544.4045075
451	21315.33333	709.1001465
454	21665.56667	714.7393705
457	21965.33333	708.2252663
460	22116.1	713.5702441
463	22039.86667	736.1189789
466	21918.06667	646.5621814
469	21558.06667	724.4179878
472	21265.1	717.6548776
475	20520.23333	640.2203405
478	19939.8	660.7799735
481	19512.4	719.1760169
484	18720.03333	626.8722101
487	18044.53333	620.9227068
490	17272.43333	696.5158202
493	16849.96667	701.1869516
496	16276.93333	629.1011586
499	15602.9	475.745324
502	14637.23333	461.3831608
505	14146.5	465.2805641
508	13296.4	470.1194565
511	12581.2	489.6321102
514	11759.26667	444.7589622
517	11117.7	456.2031273
520	10576.23333	275.3643183
523	10030.26333	305.5804471
526	9294.85	275.6290794
529	8755.613333	262.6718234
532	8384.913333	156.8566798
535	8038.093333	214.7834514
538	7495.523333	155.6663295
541	7110.03	126.1832546
544	6647.7	209.06998
547	6178.436667	156.5557613
550	5924.953333	121.7609299
553	5606.983333	125.9161137
556	5382.67	122.3063491
559	5056.436667	109.1538978
562	4716.553333	43.73822178
565	4441.22	90.50105579
568	4131.853333	58.29814243
571	3882.323333	50.7061687
574	3756.736667	47.74326212
577	3618.13	18.37907052
580	3535.64	10.4993349
583	3275.84	65.04700557
586	3190.696667	52.37920527
589	3092.2	44.4547804
592	2974.006667	34.32793679
595	2891.546667	10.69673834
598	2845.143333	23.10760144
