X	Y1	X	Y2	X	Y3
400	20609.6	400	20176	400	20548
403	19710.2	403	19392.9	403	19539.4
406	19948.6	406	19854.6	406	20182.1
409	21542.9	409	21184.9	409	21952.6
412	23399.8	412	23600.2	412	23735.9
415	24112.6	415	24099.4	415	24737.6
418	23487.8	418	23276.3	418	23790.6
421	20781.5	421	21424.6	421	22278.4
424	19276.7	424	19832.4	424	20983.7
427	18571.7	427	19384.8	427	20681.4
430	19148.4	430	20105.3	430	21258.8
433	19743.5	433	20885.6	433	22817.7
436	20668.3	436	22293.6	436	23765.3
439	21210.2	439	23242.9	439	25448.9
442	22219.7	442	24544.1	442	27220.3
445	23190.2	445	24817.6	445	27605.8
448	23765.3	448	25933.4	448	29074.5
451	24203.8	451	26706	451	29491.8
454	24629.2	454	27208.1	454	30547.3
457	25004.1	457	27912.2	457	31084.9
460	24911.8	460	27873.6	460	31177.4
463	24900.7	463	28071.5	463	31634.9
466	25266.5	466	27883.8	466	31322.8
469	24443.8	469	27525.6	469	31194.7
472	23779.4	472	26829.7	472	30706.9
475	23659	475	26413	475	30430.5
478	22972.6	478	25405.3	478	29446.1
481	21841.3	481	24646.4	481	28560.7
484	21388.2	484	24080.2	484	28156.8
487	20366	487	22988.8	487	26300.4
490	19604.1	490	22075	490	25612.1
493	18682.8	493	21554.1	493	24567.4
496	18058.8	496	20540.9	496	24018.4
499	17337.1	499	19669.7	499	22782.3
502	16363.5	502	18728.3	502	22276.3
505	15967.1	505	17604.6	505	21316.4
508	14840	508	16915.3	508	19992.1
511	14244.5	511	15891.5	511	18852.5
514	13420.5	514	15035.6	514	17617.7
517	12560.6	517	14016.8	517	16611.6
520	11772.6	520	13002.6	520	15848.1
523	11141.8	523	12362.3	523	14704
526	10355.3	526	11630.7	526	13913
529	9774.22	529	11097.5	529	13135.5
532	9443.54	532	10451.8	532	12116.7
535	8965.22	535	9790.3	535	11666.9
538	8757.25	538	9537.01	538	11030.1
541	8163.6	541	8838.63	541	10284.9
544	7576.17	544	8265.04	544	9592.29
547	7005.97	547	7591.23	547	8956.18
550	6779.15	550	7310.12	550	8578.43
553	6693.84	553	6882.52	553	8172.64
556	6138.96	556	6599.51	556	7746.85
559	5810.93	559	6153.01	559	7034.08
562	5399.71	562	5785.85	562	6562.38
565	5191.13	565	5517.05	565	6158.02
568	4918.4	568	5102.89	568	5886.16
571	4816.13	571	4795.08	571	5518.05
574	4541.46	574	4539.45	574	5102.89
577	4176.62	577	4519.4	577	4870.27
580	4090.43	580	4211.69	580	4789.07
583	3932.09	583	4068.38	583	4370.05
586	3705.63	586	3925.08	586	4231.74
589	3657.54	589	3806.83	589	3980.19
592	3568.37	592	3538.31	592	3909.04
595	3348.97	595	3547.33	595	3741.7
598	3380.02	598	3525.29	598	3559.35
