X	Trial 1	Trial 2	Trial 3
1	1	0	1
2	7	8	5
3	8	9	7
4	28	29	30
5	30	32	111
6	34	26	21
7	43	66	142
8	52	68	131
9	52	61	116
10	56	66	114
11	77	95	124
12	80	100	128
13	80	98	149
14	104	96	147
15	113	125	158
16	116	109	113
17	121	145	200
18	126	147	206
19	128	147	199
20	136	128	124
21	137	149	155
22	147	156	169
23	158	175	210
24	167	161	161
25	174	173	176
26	176	189	189
27	180	195	261
28	189	200	249
29	198	216	235
30	199	216	225
31	213	213	259
32	217	219	218
33	221	224	280
34	222	218	257
35	224	238	317
36	228	254	268
37	243	258	242
38	243	264	258
39	250	258	323
40	261	255	315
41	262	277	295
42	263	263	306
43	264	275	301
44	273	303	345
45	291	324	323
46	292	320	314
47	296	303	369
48	304	333	334
49	303	313	291
50	300	328	298
51	299	326	314
52	292	316	335
53	287	281	253
54	286	292	296
55	286	294	317
56	281	304	359
57	264	298	279
58	262	267	318
59	253	276	298
60	253	287	361
61	250	289	346
62	247	248	258
63	243	250	250
64	237	265	262
65	230	243	313
66	222	242	251
67	191	201	267
68	167	195	227
69	87	81	103
70	50	90	96
71	44	84	63
72	39	69	73
73	34	48	49
74	31	38	108
75	28	59	118
76	26	24	73
77	26	48	31
78	4	40	84
79	3	22	24
80	2	1	20
