Distance from Earth (LD)	Error	Velocity (km/s)
0.05	0.00014	1.44
0.06	0.00016	1.44
0.11	0.00027	1.64
0.13	0.00034	2.05
0.13	0.00035	2.16
0.15	0.00038	2.26
0.16	0.00042	2.33
0.18	0.00047	2.34
0.19	0.00048	2.48
0.19	0.00048	2.68
0.2	0.0005	2.69
0.23	0.00058	2.81
0.23	0.00058	2.82
0.25	0.00063	2.89
0.28	0.00073	3.2
0.33	0.00086	3.23
0.33	0.00086	3.3
0.34	0.00086	3.31
0.35	0.00089	3.31
0.36	0.00092	3.34
0.38	0.00097	3.35
0.39	0.001	3.4
0.42	0.00109	3.41
0.47	0.0012	3.45
0.47	0.0012	3.51
0.5	0.00127	3.52
0.5	0.00129	3.53
0.52	0.00133	3.55
0.53	0.00136	3.57
0.54	0.00139	3.58
0.56	0.00145	3.7
0.58	0.00149	3.76
0.59	0.00151	3.77
0.69	0.00177	3.81
0.69	0.00178	3.87
0.7	0.00179	3.88
0.7	0.0018	4.04
0.74	0.00191	4.07
0.8	0.00205	4.2
0.82	0.0021	4.26
0.82	0.00212	4.27
0.86	0.00222	4.28
0.86	0.0022	4.31
0.91	0.00235	4.32
0.91	0.00235	4.33
0.92	0.00236	4.39
0.94	0.00243	4.42
1	0.00257	4.45
1.01	0.00258	4.47
1.02	0.00263	4.51
1.03	0.00264	4.52
1.03	0.00265	4.55
1.12	0.00287	4.6
1.13	0.00289	4.6
1.18	0.00304	4.65
1.19	0.00305	4.68
1.22	0.00313	4.68
1.22	0.00314	4.69
1.23	0.00317	4.69
1.23	0.00315	4.75
1.23	0.00317	4.78
1.26	0.00323	4.79
1.28	0.00329	4.82
1.29	0.00332	4.85
1.3	0.00334	4.86
1.32	0.00338	4.87
1.33	0.00341	4.9
1.34	0.00344	4.91
1.35	0.00346	4.93
1.38	0.00356	4.93
1.46	0.00375	4.97
1.46	0.00376	4.99
1.47	0.00377	5.01
1.47	0.00378	5.02
1.47	0.00379	5.02
1.48	0.0038	5.02
1.48	0.00381	5.03
1.53	0.00393	5.08
1.54	0.00396	5.11
1.57	0.00404	5.14
1.62	0.00416	5.15
1.63	0.00418	5.24
1.63	0.00419	5.31
1.65	0.00424	5.35
1.66	0.00426	5.37
1.69	0.00434	5.38
1.7	0.00437	5.4
1.72	0.00441	5.42
1.73	0.00445	5.42
1.73	0.00444	5.42
1.74	0.00447	5.47
1.79	0.0046	5.47
1.81	0.00466	5.47
1.81	0.00465	5.48
1.82	0.00468	5.49
1.86	0.00479	5.49
1.86	0.00477	5.51
1.9	0.00489	5.55
1.95	0.00502	5.57
1.96	0.00503	5.59
