Date	     Extent (million sq km)
10-1978	10.231
10-1978	10.42
10-1978	10.557
11-1978	10.67
11-1978	10.777
11-1978	10.968
11-1978	11.08
11-1978	11.189
11-1978	11.314
11-1978	11.46
11-1978	11.539
11-1978	11.696
11-1978	11.87
11-1978	12.053
11-1978	12.274
11-1978	12.441
11-1978	12.662
11-1978	12.684
12-1978	12.725
12-1978	12.66
12-1978	12.785
12-1978	13.051
12-1978	13.143
12-1978	13.437
12-1978	13.603
12-1978	13.649
12-1978	13.807
12-1978	13.892
12-1978	13.996
12-1978	14.189
12-1978	14.268
12-1978	14.383
12-1978	14.5
12-1978	14.585
01-1979	14.997
01-1979	14.922
01-1979	14.929
01-1979	14.968
01-1979	15.19
01-1979	15.327
01-1979	15.352
01-1979	15.5
01-1979	15.517
01-1979	15.709
01-1979	15.679
01-1979	15.745
01-1979	15.686
01-1979	15.777
01-1979	15.912
02-1979	15.857
02-1979	15.839
02-1979	15.831
02-1979	15.801
02-1979	15.99
02-1979	16.099
02-1979	16.289
02-1979	16.323
02-1979	16.343
02-1979	16.291
02-1979	16.26
02-1979	16.401
02-1979	16.579
02-1979	16.551
03-1979	16.635
03-1979	16.457
03-1979	16.568
03-1979	16.547
03-1979	16.536
03-1979	16.513
03-1979	16.414
03-1979	16.31
03-1979	16.467
03-1979	16.505
03-1979	16.349
03-1979	16.279
03-1979	16.264
03-1979	16.06
03-1979	15.763
03-1979	15.804
04-1979	15.66
04-1979	15.641
04-1979	15.695
04-1979	15.794
04-1979	15.761
04-1979	15.655
04-1979	15.5
04-1979	15.454
04-1979	15.51
04-1979	15.343
04-1979	15.255
04-1979	15.224
04-1979	15.141
04-1979	15.108
04-1979	14.961
05-1979	14.626
05-1979	14.498
05-1979	14.45
05-1979	14.325
05-1979	14.149
05-1979	14.012
05-1979	13.836
05-1979	13.862
05-1979	13.691
05-1979	13.56
05-1979	13.529
05-1979	13.364
05-1979	13.399
05-1979	13.292
05-1979	13.26
06-1979	13.076
06-1979	12.977
06-1979	12.832
06-1979	12.791
06-1979	12.854
06-1979	12.733
06-1979	12.673
06-1979	12.548
06-1979	12.517
06-1979	12.415
06-1979	12.373
06-1979	12.243
06-1979	12.112
06-1979	11.977
06-1979	11.829
07-1979	11.562
07-1979	11.363
07-1979	11.255
07-1979	10.936
07-1979	10.793
07-1979	10.662
07-1979	10.503
07-1979	10.401
07-1979	10.256
07-1979	9.927
07-1979	9.919
07-1979	9.668
07-1979	9.614
07-1979	9.556
07-1979	9.342
07-1979	9.223
08-1979	9
08-1979	8.859
08-1979	8.744
08-1979	8.61
08-1979	8.328
08-1979	8.284
08-1979	8.138
08-1979	7.971
08-1979	7.811
08-1979	7.659
08-1979	7.566
08-1979	7.577
08-1979	7.421
08-1979	7.364
08-1979	7.284
09-1979	7.228
09-1979	7.147
09-1979	7.037
09-1979	7.075
09-1979	7.092
09-1979	6.981
09-1979	7.003
09-1979	7.007
09-1979	7.001
09-1979	6.91
09-1979	6.895
09-1979	7.033
09-1979	7.058
09-1979	7.127
09-1979	7.173
10-1979	7.404
10-1979	7.534
10-1979	7.813
10-1979	7.878
10-1979	8.115
10-1979	8.136
10-1979	8.338
10-1979	8.57
10-1979	8.938
10-1979	9.19
10-1979	9.295
10-1979	9.466
10-1979	9.7
10-1979	9.869
10-1979	9.797
10-1979	9.924
