Date	Extent
10	10.231
10	10.42
10	10.557
11	10.67
11	10.777
11	10.968
11	11.08
11	11.189
11	11.314
11	11.46
11	11.539
11	11.696
11	11.87
11	12.053
11	12.274
11	12.441
11	12.662
11	12.684
12	12.725
12	12.66
12	12.785
12	13.051
12	13.143
12	13.437
12	13.603
12	13.649
12	13.807
12	13.892
12	13.996
12	14.189
12	14.268
12	14.383
12	14.5
12	14.585
1	14.997
1	14.922
1	14.929
1	14.968
1	15.19
1	15.327
1	15.352
1	15.5
1	15.517
1	15.709
1	15.679
1	15.745
1	15.686
1	15.777
1	15.912
2	15.857
2	15.839
2	15.831
2	15.801
2	15.99
2	16.099
2	16.289
2	16.323
2	16.343
2	16.291
2	16.26
2	16.401
2	16.579
2	16.551
3	16.635
3	16.457
3	16.568
3	16.547
3	16.536
3	16.513
3	16.414
3	16.31
3	16.467
3	16.505
3	16.349
3	16.279
3	16.264
3	16.06
3	15.763
3	15.804
4	15.66
4	15.641
4	15.695
4	15.794
4	15.761
4	15.655
4	15.5
4	15.454
4	15.51
4	15.343
4	15.255
4	15.224
4	15.141
4	15.108
4	14.961
5	14.626
5	14.498
5	14.45
5	14.325
5	14.149
5	14.012
5	13.836
5	13.862
5	13.691
5	13.56
5	13.529
5	13.364
5	13.399
5	13.292
5	13.26
6	13.076
6	12.977
6	12.832
6	12.791
6	12.854
6	12.733
6	12.673
6	12.548
6	12.517
6	12.415
6	12.373
6	12.243
6	12.112
6	11.977
6	11.829
7	11.562
7	11.363
7	11.255
7	10.936
7	10.793
7	10.662
7	10.503
7	10.401
7	10.256
7	9.927
7	9.919
7	9.668
7	9.614
7	9.556
7	9.342
7	9.223
8	9
8	8.859
8	8.744
8	8.61
8	8.328
8	8.284
8	8.138
8	7.971
8	7.811
8	7.659
8	7.566
8	7.577
8	7.421
8	7.364
8	7.284
9	7.228
9	7.147
9	7.037
9	7.075
9	7.092
9	6.981
9	7.003
9	7.007
9	7.001
9	6.91
9	6.895
9	7.033
9	7.058
9	7.127
9	7.173
10	7.404
10	7.534
10	7.813
10	7.878
10	8.115
10	8.136
10	8.338
10	8.57
10	8.938
10	9.19
10	9.295
10	9.466
10	9.7
10	9.869
10	9.797
10	9.924
11	10.144
11	10.159
11	10.267
11	10.27
11	10.497
11	10.61
11	10.8
11	10.92
11	11.01
11	11.157
11	11.352
11	11.419
11	11.581
11	11.884
11	12.076
12	12.39
12	12.462
12	12.781
12	12.991
12	13.101
12	13.292
12	13.268
12	13.322
12	13.377
12	13.541
12	13.619
12	13.773
12	13.934
12	14.101
12	14.092
1	14.2
1	14.302
1	14.414
1	14.518
1	14.594
1	14.665
1	14.771
1	14.831
1	14.957
1	15.12
1	15.141
1	15.195
1	15.209
1	15.124
1	15.258
1	15.491
2	15.401
2	15.639
2	15.76
2	15.888
2	15.895
2	15.97
2	16.017
2	16.095
2	16.095
2	16.17
2	16.066
2	16.087
2	16.069
2	16.22
3	16.157
3	16.248
3	16.302
3	16.289
3	16.168
3	16.04
3	15.966
3	15.994
3	15.988
3	16.005
3	15.946
3	15.945
3	15.923
3	15.986
3	15.891
3	15.813
4	15.681
4	15.664
4	15.707
4	15.653
4	15.644
4	15.652
4	15.523
4	15.509
4	15.39
4	15.376
4	15.406
4	15.259
4	15.117
4	14.996
4	14.859
5	14.718
5	14.549
5	14.412
5	14.32
5	14.186
5	14.011
5	13.843
5	13.757
5	13.672
5	13.531
5	13.405
5	13.34
5	13.206
5	13.023
5	12.916
6	12.766
6	12.706
6	12.614
6	12.61
6	12.586
6	12.468
6	12.278
6	12.269
6	12.13
6	12.043
6	12.007
6	11.842
6	11.699
6	11.585
6	11.466
7	11.283
7	11.075
7	10.983
7	10.852
7	10.7
7	10.575
7	10.307
7	10.203
7	9.946
7	9.847
7	9.779
7	9.594
7	9.358
7	9.166
7	9.065
7	8.868
8	8.76
8	8.611
8	8.548
8	8.348
8	8.202
8	8.041
8	7.82
8	7.765
8	7.761
8	7.717
8	7.758
8	7.578
8	7.667
8	7.588
8	7.6
9	7.544
9	7.555
9	7.533
9	7.574
9	7.56
9	7.557
9	7.543
9	7.602
9	7.58
9	7.651
9	7.686
9	7.782
9	7.854
9	7.966
9	8.019
10	8.223
10	8.213
10	8.485
10	8.532
10	8.809
10	8.975
10	9.161
10	9.218
10	9.272
10	9.389
10	9.468
10	9.586
10	9.643
10	9.841
10	9.911
10	10.198
11	10.42
11	10.523
11	10.652
11	10.789
11	10.88
11	10.976
11	11.087
11	11.217
11	11.337
11	11.628
11	11.78
11	12.096
11	12.256
11	12.476
11	12.626
12	12.643
12	13.032
12	13.122
12	13.298
12	13.334
12	13.569
12	13.685
12	13.91
12	13.762
12	13.697
12	13.779
12	13.798
12	14
12	14.172
12	14.093
1	14.256
1	14.456
1	14.435
1	14.689
1	14.619
